record_index,site,file_offset,target,target_internal
1,5072,0x00009430,2481,True
1,5092,0x00009444,2481,True
1,5102,0x0000944E,31780,True
1,5137,0x00009471,2481,True
1,4427,0x000091AB,2493,True
1,4451,0x000091C3,2481,True
1,4461,0x000091CD,31780,True
1,4334,0x0000914E,2493,True
1,4358,0x00009166,2481,True
1,4207,0x000090CF,2268,True
1,4215,0x000090D7,2493,True
1,4225,0x000090E1,2493,True
1,4239,0x000090EF,31780,True
1,4279,0x00009117,2493,True
1,61904,0x00017230,839,True
1,61914,0x0001723A,551,True
1,61924,0x00017244,286,True
1,61927,0x00017247,891,True
1,317,0x0000819D,946,True
1,564,0x00008294,946,True
1,1234,0x00008532,551,True
1,854,0x000083B6,2254,True
1,15786,0x0000BE0A,61636,True
1,16206,0x0000BFAE,1662,True
1,16222,0x0000BFBE,2304,True
1,16272,0x0000BFF0,2304,True
1,15130,0x0000BB7A,1662,True
1,15146,0x0000BB8A,2304,True
1,15196,0x0000BBBC,2304,True
1,15238,0x0000BBE6,2304,True
1,15285,0x0000BC15,2304,True
1,15330,0x0000BC42,2304,True
1,15372,0x0000BC6C,2304,True
1,15419,0x0000BC9B,2304,True
1,15465,0x0000BCC9,2304,True
1,15491,0x0000BCE3,2481,True
1,15521,0x0000BD01,2285,True
1,15545,0x0000BD19,2285,True
1,15569,0x0000BD31,2285,True
1,59202,0x000167A2,41282,True
1,41472,0x00012260,5238,True
1,41700,0x00012344,5238,True
1,5349,0x00009545,1700,True
1,5435,0x0000959B,1725,True
1,5555,0x00009613,1725,True
1,7112,0x00009C28,2323,True
1,7124,0x00009C34,2323,True
1,7137,0x00009C41,2285,True
1,7145,0x00009C49,2323,True
1,7150,0x00009C4E,2285,True
1,7158,0x00009C56,2323,True
1,7163,0x00009C5B,2285,True
1,7171,0x00009C63,2323,True
1,7176,0x00009C68,2285,True
1,7248,0x00009CB0,35658,True
1,35747,0x00010C03,2285,True
1,35776,0x00010C20,1788,True
1,35805,0x00010C3D,2285,True
1,35838,0x00010C5E,1788,True
1,35867,0x00010C7B,2285,True
1,35900,0x00010C9C,1788,True
1,35956,0x00010CD4,1788,True
1,5473,0x000095C1,1725,True
1,5634,0x00009662,1725,True
1,5774,0x000096EE,1725,True
1,5787,0x000096FB,1725,True
1,5828,0x00009724,1725,True
1,5859,0x00009743,1725,True
1,5870,0x0000974E,1725,True
1,5882,0x0000975A,1725,True
1,6062,0x0000980E,1725,True
1,6073,0x00009819,1725,True
1,6085,0x00009825,1725,True
1,4596,0x00009254,2481,True
1,4606,0x0000925E,31780,True
1,4697,0x000092B9,2481,True
1,4713,0x000092C9,48316,True
1,4719,0x000092CF,2493,True
1,18516,0x0000C8B4,63954,True
1,18519,0x0000C8B7,63262,True
1,18524,0x0000C8BC,58311,True
1,18527,0x0000C8BF,53240,True
1,18530,0x0000C8C2,60184,True
1,18574,0x0000C8EE,11325,True
1,18589,0x0000C8FD,11325,True
1,18650,0x0000C93A,11325,True
1,18696,0x0000C968,63496,True
1,18731,0x0000C98B,37408,True
1,18736,0x0000C990,56226,True
1,18754,0x0000C9A2,52464,True
1,18757,0x0000C9A5,63671,True
1,18760,0x0000C9A8,59855,True
1,19229,0x0000CB7D,63377,True
1,63377,0x000177F1,64117,True
1,63380,0x000177F4,64093,True
1,63390,0x000177FE,58717,True
1,58717,0x000165BD,56140,True
1,58778,0x000165FA,11325,True
1,58764,0x000165EC,64047,True
1,56145,0x00015BB1,32427,True
1,32567,0x0000FF97,2636,True
1,24141,0x0000DEAD,62189,True
1,24313,0x0000DF59,62189,True
1,18780,0x0000C9BC,40797,True
1,40797,0x00011FBD,54670,True
1,40814,0x00011FCE,47504,True
1,40831,0x00011FDF,10026,True
1,40857,0x00011FF9,41964,True
1,40942,0x0001204E,47131,True
1,40959,0x0001205F,23150,True
1,42309,0x000125A5,1725,True
1,42319,0x000125AF,1725,True
1,42329,0x000125B9,1725,True
1,42339,0x000125C3,1725,True
1,41099,0x000120EB,1840,True
1,41149,0x0001211D,1700,True
1,41263,0x0001218F,1770,True
1,41004,0x0001208C,49968,True
1,41024,0x000120A0,49968,True
1,41027,0x000120A3,63686,True
1,49991,0x000143A7,2493,True
1,23172,0x0000DAE4,2542,True
1,23193,0x0000DAF9,2568,True
1,23203,0x0000DB03,2568,True
1,23213,0x0000DB0D,2568,True
1,23223,0x0000DB17,2568,True
1,23230,0x0000DB1E,63716,True
1,23244,0x0000DB2C,63716,True
1,23358,0x0000DB9E,2304,True
1,23378,0x0000DBB2,2304,True
1,23317,0x0000DB75,22672,True
1,22902,0x0000D9D6,1770,True
1,22918,0x0000D9E6,1770,True
1,23144,0x0000DAC8,1770,True
1,23618,0x0000DCA2,63716,True
