record_index,address,file_offset,vector_root,direct_call_count,first_opcode
1,0x00008514,0x00010574,False,1,0x90
1,0x000087C0,0x00010820,False,1,0x18
1,0x00008A0E,0x00010A6E,False,1,0xE4
1,0x00008B4A,0x00010BAA,False,1,0x90
1,0x00008C81,0x00010CE1,False,1,0xC0
1,0x00009220,0x00011280,False,1,0x90
1,0x00009A71,0x00011AD1,False,1,0xC0
1,0x00009B74,0x00011BD4,False,1,0x90
1,0x00009C73,0x00011CD3,False,1,0x90
1,0x00009D6C,0x00011DCC,False,1,0x90
1,0x00009F5D,0x00011FBD,False,1,0x12
1,0x0000A050,0x000120B0,False,2,0x50
1,0x0000A142,0x000121A2,False,1,0xC0
1,0x0000A229,0x00012289,False,1,0xC0
1,0x0000A3EC,0x0001244C,False,1,0x90
1,0x0000A4C8,0x00012528,False,1,0x90
1,0x0000A828,0x00012888,False,1,0xD2
1,0x0000A9CB,0x00012A2B,False,1,0x90
1,0x0000B322,0x00013382,False,2,0xEF
1,0x0000B3DE,0x0001343E,False,1,0x90
1,0x0000B81B,0x0001387B,False,1,0x90
1,0x0000B979,0x000139D9,False,1,0x90
1,0x0000B987,0x000139E7,False,1,0xFF
1,0x0000B98A,0x000139EA,False,1,0x74
1,0x0000B98C,0x000139EC,False,1,0x90
1,0x0000B990,0x000139F0,False,3,0x90
1,0x0000BCBC,0x00013D1C,False,3,0x90
1,0x0000C07F,0x000140DF,False,3,0xA3
1,0x0000C0E6,0x00014146,False,2,0xEF
1,0x0000C330,0x00014390,False,2,0x7B
1,0x0000C336,0x00014396,False,1,0x90
1,0x0000C675,0x000146D5,False,1,0xEF
1,0x0000C784,0x000147E4,False,1,0xC0
1,0x0000C993,0x000149F3,False,3,0xEF
1,0x0000CB75,0x00014BD5,False,3,0x10
1,0x0000CB87,0x00014BE7,False,1,0x90
1,0x0000CCF0,0x00014D50,False,1,0x90
1,0x0000CD64,0x00014DC4,False,2,0x90
1,0x0000CDD8,0x00014E38,False,1,0xC0
1,0x0000CE48,0x00014EA8,False,1,0x90
1,0x0000CEB5,0x00014F15,False,2,0xC0
1,0x0000CF8D,0x00014FED,False,1,0x90
1,0x0000CFF8,0x00015058,False,1,0xE4
1,0x0000D074,0x000150D4,False,1,0x33
1,0x0000D090,0x000150F0,False,1,0xF0
1,0x0000D2D9,0x00015339,False,1,0xE4
1,0x0000D33F,0x0001539F,False,1,0xC2
1,0x0000D3A4,0x00015404,False,8,0x90
1,0x0000D4CC,0x0001552C,False,1,0xAD
1,0x0000D58E,0x000155EE,False,1,0xE4
1,0x0000D9EA,0x00015A4A,False,1,0x7F
1,0x0000DA44,0x00015AA4,False,1,0x90
1,0x0000DB4C,0x00015BAC,False,1,0xE4
1,0x0000DBA2,0x00015C02,False,2,0x90
1,0x0000DFCB,0x0001602B,False,6,0xC0
1,0x0000E063,0x000160C3,False,1,0xC0
1,0x0000E1D8,0x00016238,False,1,0x90
1,0x0000E2AF,0x0001630F,False,1,0xC0
1,0x0000E2F6,0x00016356,False,1,0x90
1,0x0000E33C,0x0001639C,False,1,0x90
1,0x0000E3C7,0x00016427,False,1,0x90
1,0x0000E40C,0x0001646C,False,3,0x12
1,0x0000E4D7,0x00016537,False,1,0x30
1,0x0000E55D,0x000165BD,False,1,0x12
1,0x0000E61E,0x0001667E,False,2,0x7B
1,0x0000E620,0x00016680,False,1,0x90
1,0x0000E629,0x00016689,False,1,0x90
1,0x0000E6D7,0x00016737,False,1,0x12
1,0x0000E713,0x00016773,False,1,0xC0
1,0x0000E78A,0x000167EA,False,2,0x7F
1,0x0000E800,0x00016860,False,2,0x90
1,0x0000E876,0x000168D6,False,2,0xE4
1,0x0000E989,0x000169E9,False,1,0xE4
1,0x0000E9CF,0x00016A2F,False,1,0x90
1,0x0000EAE2,0x00016B42,False,1,0x78
