site,file_offset,target,target_scope,ida_caller,structural_caller,caller_confidence
0x00137778,0x00165778,0x001E56F8,main-internal,0x00137440:sub_137440,0x00137440,ida-container
0x0013778C,0x0016578C,0x001370B4,main-internal,0x00137440:sub_137440,0x00137440,ida-container
0x001378E4,0x001658E4,0x001E56F8,main-internal,0x00137440:sub_137440,0x00137440,ida-container
0x001378F0,0x001658F0,0x001E56F8,main-internal,0x00137440:sub_137440,0x00137440,ida-container
0x00137980,0x00165980,0x0012D0A8,main-internal,0x00137958:sub_137958,0x00137958,ida-container
0x00137990,0x00165990,0x0012D0A8,main-internal,0x00137958:sub_137958,0x00137958,ida-container
0x00137998,0x00165998,0x0012D0A8,main-internal,0x00137958:sub_137958,0x00137958,ida-container
0x001379D8,0x001659D8,0x0012746C,main-internal,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x001379E4,0x001659E4,0x00127478,main-internal,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x00137A14,0x00165A14,0x00127478,main-internal,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x00137A44,0x00165A44,0x0012746C,main-internal,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x00137A58,0x00165A58,0x00127478,main-internal,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x00137A88,0x00165A88,0x00127478,main-internal,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x00137AB8,0x00165AB8,0xA002CFB0,external-or-runtime,0x001379AC:sub_1379AC,0x001379AC,ida-container
0x00137B0C,0x00165B0C,0xA002D04C,external-or-runtime,0x00137ACC:sub_137ACC,0x00137ACC,ida-container
0x00137B5C,0x00165B5C,0xA002D04C,external-or-runtime,0x00137ACC:sub_137ACC,0x00137ACC,ida-container
0x00137BBC,0x00165BBC,0x0014A7F8,main-internal,,0x00137BB0,nearest-candidate
0x00137BE0,0x00165BE0,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00137C20,0x00165C20,0x001E56F8,main-internal,,0x00137BB0,nearest-candidate
0x00137C30,0x00165C30,0x001E56F8,main-internal,,0x00137BB0,nearest-candidate
0x00137C44,0x00165C44,0x001E56F8,main-internal,,0x00137BB0,nearest-candidate
0x00137C54,0x00165C54,0x0012D408,main-internal,,0x00137BB0,nearest-candidate
0x00137C64,0x00165C64,0x0012D408,main-internal,,0x00137BB0,nearest-candidate
0x00137CF8,0x00165CF8,0x0012D298,main-internal,,0x00137BB0,nearest-candidate
0x00137D1C,0x00165D1C,0x0012D298,main-internal,,0x00137BB0,nearest-candidate
0x00137D30,0x00165D30,0x00164FAC,main-internal,,0x00137BB0,nearest-candidate
0x00137D44,0x00165D44,0x0012D13C,main-internal,,0x00137BB0,nearest-candidate
0x00137D58,0x00165D58,0x0014A7F8,main-internal,,0x00137BB0,nearest-candidate
0x00137D74,0x00165D74,0x0012D13C,main-internal,,0x00137BB0,nearest-candidate
0x00137D80,0x00165D80,0x0012D064,main-internal,,0x00137BB0,nearest-candidate
0x00137DA0,0x00165DA0,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x00137DD4,0x00165DD4,0x00164FAC,main-internal,,0x00137BB0,nearest-candidate
0x00137DDC,0x00165DDC,0x0014A7F8,main-internal,,0x00137BB0,nearest-candidate
0x00137E40,0x00165E40,0x0012D13C,main-internal,,0x00137BB0,nearest-candidate
0x00137E4C,0x00165E4C,0x0012D064,main-internal,,0x00137BB0,nearest-candidate
0x00137E68,0x00165E68,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x00137E7C,0x00165E7C,0x0012D13C,main-internal,,0x00137BB0,nearest-candidate
0x00137E98,0x00165E98,0x0012D064,main-internal,,0x00137BB0,nearest-candidate
0x00137EBC,0x00165EBC,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00137EF0,0x00165EF0,0x0012D298,main-internal,,0x00137BB0,nearest-candidate
0x00137F30,0x00165F30,0x0012D298,main-internal,,0x00137BB0,nearest-candidate
0x00137F40,0x00165F40,0x0012D064,main-internal,,0x00137BB0,nearest-candidate
0x00137F50,0x00165F50,0x0012D064,main-internal,,0x00137BB0,nearest-candidate
0x00137F60,0x00165F60,0x0012D064,main-internal,,0x00137BB0,nearest-candidate
0x00137F7C,0x00165F7C,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x00137FB0,0x00165FB0,0x0012C8A0,main-internal,,0x00137BB0,nearest-candidate
0x00137FCC,0x00165FCC,0x0012C8A0,main-internal,,0x00137BB0,nearest-candidate
0x00137FE8,0x00165FE8,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x00137FF4,0x00165FF4,0x0012CAF4,main-internal,,0x00137BB0,nearest-candidate
0x00138008,0x00166008,0x0012CAF4,main-internal,,0x00137BB0,nearest-candidate
0x00138034,0x00166034,0x0012C8A0,main-internal,,0x00137BB0,nearest-candidate
0x0013804C,0x0016604C,0x0014AD14,main-internal,,0x00137BB0,nearest-candidate
0x00138058,0x00166058,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138068,0x00166068,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138078,0x00166078,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x0013808C,0x0016608C,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x001380D0,0x001660D0,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x001380E0,0x001660E0,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x001380F0,0x001660F0,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x00138128,0x00166128,0xA002D04C,external-or-runtime,,0x00137BB0,nearest-candidate
0x0013817C,0x0016617C,0xA002D04C,external-or-runtime,,0x00137BB0,nearest-candidate
